voyage_itinerary__percentage_men_among_landed_slaves	FloatField	Percentage of men among landed slaves MENRAT3
voyage_itinerary__percentage_women_among_landed_slaves	FloatField	Percentage of women among landed slaves WOMRAT3
voyage_itinerary__percentage_men	FloatField	Percentage men on voyage MENRAT7
voyage_itinerary__percentage_women	FloatField	Percentage women on voyage WOMRAT7
voyage_itinerary__percentage_boy	FloatField	Percentage boy on voyage BOYRAT7
voyage_itinerary__percentage_girl	FloatField	Percentage girl on voyage GIRLRAT7
voyage_itinerary__percentage_male	FloatField	Percentage male on voyage MALRAT7
voyage_itinerary__percentage_child	FloatField	Percentage children on voyage CHILRAT7
voyage_itinerary__percentage_adult	FloatField	Percentage adult on voyage
voyage_itinerary__percentage_female	FloatField	Percentage female on voyage
voyage_itinerary__imp_mortality_ratio	FloatField	Imputed mortality ratio VYMRTRAT
voyage_dates__length_middle_passage_days	IntegerField	Length of Middle Passage in days VOYAGE
voyage_dates__imp_length_home_to_disembark	IntegerField	Voyage length from home port to disembarkation days VOY1IMP
voyage_dates__imp_length_leaving_africa_to_disembark	IntegerField	Voyage length from last slave embarkation to first disembarkation days VOY2IMP
voyage_ship__tonnage	IntegerField	Tonnage of vessel
voyage_ship__year_of_construction	IntegerField	Year of vessels construction
voyage_ship__registered_year	IntegerField	Year of vessels registration
voyage_crew__crew_voyage_outset	IntegerField	Crew at voyage outset
voyage_crew__crew_departure_last_port	IntegerField	Crew at departure from last port of slave purchase
voyage_crew__crew_first_landing	IntegerField	Crew at first landing of slaves
voyage_crew__crew_return_begin	IntegerField	Crew when return voyage begin
voyage_crew__crew_end_voyage	IntegerField	Crew at end of voyage
voyage_crew__unspecified_crew	IntegerField	Number of crew unspecified
voyage_crew__crew_died_before_first_trade	IntegerField	Crew died before first place of trade in Africa
voyage_crew__crew_died_while_ship_african	IntegerField	Crew died while ship was on African coast
voyage_crew__crew_died_middle_passage	IntegerField	Crew died during Middle Passage
voyage_crew__crew_died_in_americas	IntegerField	Crew died in the Americas
voyage_crew__crew_died_complete_voyage	IntegerField	Crew died during complete voyage
voyage_crew__crew_deserted	IntegerField	Total number of crew deserted
voyage_slaves_numbers__slave_deaths_before_africa	IntegerField	Slaves death before leaving Africa SLADAFRI
voyage_slaves_numbers__slave_deaths_between_africa_america	IntegerField	Slaves death between Africa and Americas SLADVOY
voyage_slaves_numbers__slave_deaths_between_arrival_and_sale	IntegerField	Slaves death before arrival and sale SLADAMER
voyage_slaves_numbers__num_slaves_intended_first_port	IntegerField	Number of slaves intended from first port of purchase SLINTEND
voyage_slaves_numbers__num_slaves_intended_second_port	IntegerField	Number of slaves intended from second port of purchase SLINTEN2
voyage_slaves_numbers__num_slaves_carried_first_port	IntegerField	Number of slaves carried from first port of purchase NCAR13
voyage_slaves_numbers__num_slaves_carried_second_port	IntegerField	Number of slaves carried from second port of purchase NCAR15
voyage_slaves_numbers__num_slaves_carried_third_port	IntegerField	Number of slaves carried from third port of purchase NCAR17
voyage_slaves_numbers__total_num_slaves_purchased	IntegerField	Total slaves purchased TSLAVESP
voyage_slaves_numbers__total_num_slaves_dep_last_slaving_port	IntegerField	Total slaves on board at departure from last slaving port TSLAVESD
voyage_slaves_numbers__total_num_slaves_arr_first_port_embark	IntegerField	Total slaves arrived at first port of disembarkation SLAARRIV
voyage_slaves_numbers__num_slaves_disembark_first_place	IntegerField	Number of slaves disembarked at first place SLAS32
